id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,16874,617,381,233,134,688.0,416.203125,0.9908146858215332,0.9766502976417542,0,0,1024,683
1,39144,96,189,293,170,368.0,224.109375,0.9870918393135071,0.9798488020896912,0,0,1024,683
2,8230,621,459,161,95,752.0,522.921875,0.9848952293395996,0.9814792275428772,0,0,1024,683
3,77485,479,12,343,324,528.0,202.765625,0.9804807901382446,0.9514110088348389,0,0,1024,683
4,4438,0,69,127,70,16.0,74.703125,0.978371262550354,0.9810774922370911,0,0,1024,683
5,7300,797,0,226,44,976.0,32.015625,0.9770766496658325,0.9857045412063599,0,0,1024,683
6,1464,147,624,51,39,176.0,650.984375,0.9713280200958252,0.9884432554244995,0,0,1024,683
7,14140,502,29,231,78,656.0,74.703125,0.970902681350708,0.9750576615333557,0,0,1024,683
8,24525,479,11,277,110,720.0,96.046875,0.9707612991333008,0.9821038842201233,0,0,1024,683
9,2435,0,235,60,75,16.0,245.453125,0.9687258005142212,0.9768480658531189,0,0,1024,683
10,1502,344,647,63,35,368.0,672.328125,0.966678261756897,0.9835417866706848,0,0,1024,683
11,6005,725,101,98,164,816.0,138.734375,0.966639518737793,0.9743800163269043,0,0,1024,683
12,5597,428,610,132,72,432.0,672.328125,0.9654799699783325,0.9754979610443115,0,0,1024,683
13,3428,786,516,111,53,816.0,544.265625,0.9638708829879761,0.9763620495796204,0,0,1024,683
14,1122,41,110,52,29,80.0,117.390625,0.9600311517715454,0.9718804955482483,0,0,1024,683
15,9177,786,274,200,105,944.0,352.171875,0.9600274562835693,0.9647864699363708,0,0,1024,683
16,1666,179,0,85,29,240.0,10.671875,0.959243893623352,0.9792408347129822,0,0,1024,683
17,49349,489,91,317,244,528.0,117.390625,0.9587310552597046,0.9722731113433838,0,0,1024,683
18,1164,941,289,82,32,1008.0,309.484375,0.948844313621521,0.9694915413856506,0,0,1024,683
19,8719,0,159,175,81,112.0,181.421875,0.9485191106796265,0.9772263765335083,0,0,1024,683
20,406,614,418,25,23,624.0,437.546875,0.947041392326355,0.9757281541824341,0,0,1024,683
21,198,614,271,14,21,624.0,288.140625,0.9468621015548706,0.9605911374092102,0,0,1024,683
22,1386,237,647,61,35,272.0,672.328125,0.9459296464920044,0.979285717010498,0,0,1024,683
23,847,342,0,45,19,368.0,10.671875,0.945317268371582,0.9652777910232544,0,0,1024,683
24,6044,879,383,144,80,976.0,437.546875,0.9452518224716187,0.9706792831420898,0,0,1024,683
25,3606,288,0,64,71,336.0,53.359375,0.9452017545700073,0.9531880617141724,0,0,1024,683
26,7818,79,105,216,71,176.0,160.078125,0.9436713457107544,0.9562827944755554,0,0,1024,683
27,1810,0,651,111,31,48.0,672.328125,0.943292498588562,0.9611231088638306,0,0,1024,683
28,7596,763,242,260,141,944.0,309.484375,0.9426681995391846,0.9510632753372192,0,0,1024,683
29,510,591,232,26,29,592.0,245.453125,0.9425078630447388,0.9729729890823364,0,0,1024,683
30,6036,157,57,159,59,240.0,96.046875,0.9422940015792847,0.9655116200447083,0,0,1024,683
31,578,989,523,34,23,1008.0,544.265625,0.9403834342956543,0.9677419066429138,0,0,1024,683
32,475,614,228,27,31,624.0,245.453125,0.9395077228546143,0.9648760557174683,0,0,1024,683
33,374,385,280,25,21,400.0,288.140625,0.939026951789856,0.9893898963928223,0,0,1024,683
34,612,542,229,23,33,560.0,245.453125,0.9381176233291626,0.9789643883705139,0,0,1024,683
35,4001,0,104,87,89,16.0,160.078125,0.9371838569641113,0.9682968854904175,0,0,1024,683
36,56995,483,405,540,276,560.0,522.921875,0.9357410669326782,0.9500410556793213,0,0,1024,683
37,11689,504,328,188,97,624.0,394.859375,0.9313532114028931,0.9713515043258667,0,0,1024,683
38,423,577,273,24,21,592.0,288.140625,0.9311866760253906,0.9766899943351746,0,0,1024,683
39,2524,920,356,99,40,976.0,373.515625,0.9274429678916931,0.9695550203323364,0,0,1024,683
40,6915,823,402,149,102,912.0,416.203125,0.9256277680397034,0.952126145362854,0,0,1024,683
41,72879,0,508,716,174,432.0,650.984375,0.9243476390838623,0.9527191519737244,0,0,1024,683
42,4045,781,450,105,81,880.0,501.578125,0.9206022024154663,0.9705524444580078,0,0,1024,683
43,9813,152,530,519,115,528.0,608.296875,0.9179784059524536,0.9576777815818787,0,0,1024,683
44,8366,0,68,127,123,16.0,96.046875,0.9115012288093567,0.9639502167701721,0,0,1024,683
45,1376,842,439,60,47,880.0,458.890625,0.9113031625747681,0.9720830321311951,0,0,1024,683
46,832,501,0,41,29,528.0,10.671875,0.9024572372436523,0.9622641801834106,0,0,1024,683
47,418,778,511,23,24,784.0,522.921875,0.9016990661621094,0.9650349617004395,0,0,1024,683
48,2681,490,406,94,49,496.0,437.546875,0.8955773115158081,0.966300368309021,0,0,1024,683
49,1204,490,516,45,43,496.0,544.265625,0.8920908570289612,0.9648405313491821,0,0,1024,683
50,561,881,504,38,26,912.0,522.921875,0.887675404548645,0.9718804955482483,0,0,1024,683
51,14259,288,0,191,85,400.0,74.703125,0.8863670229911804,0.9610665440559387,0,0,1024,683
52,476,0,230,69,19,48.0,245.453125,0.8818550109863281,0.9588477611541748,0,0,1024,683
