id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,31211,187,0,268,143,336.0,132.0,1.0056514739990234,0.9886573553085327,0,0,1024,768
1,6577,914,0,109,122,1008.0,60.0,1.0027800798416138,0.9873130917549133,0,0,1024,768
2,8405,843,395,119,101,848.0,420.0,0.9904143810272217,0.9820923805236816,0,0,1024,768
3,17668,614,145,128,176,656.0,228.0,0.9877693057060242,0.9799495935440063,0,0,1024,768
4,14541,38,367,145,124,176.0,444.0,0.9816077947616577,0.9846363663673401,0,0,1024,768
5,21561,0,542,246,224,48.0,756.0,0.9815704822540283,0.9772434830665588,0,0,1024,768
6,6099,0,0,114,163,16.0,84.0,0.9813405275344849,0.9813432693481445,0,0,1024,768
7,7749,118,0,101,111,144.0,84.0,0.9785529375076294,0.9857819676399231,0,0,1024,768
8,1093,574,491,36,38,592.0,492.0,0.9778741598129272,0.9863760471343994,0,0,1024,768
9,17645,17,366,167,164,176.0,444.0,0.977317750453949,0.9719016551971436,0,0,1024,768
10,20413,321,0,226,209,368.0,180.0,0.9758323431015015,0.9701722860336304,0,0,1024,768
11,5307,483,457,84,78,496.0,492.0,0.9757602214813232,0.9586181640625,0,0,1024,768
12,36985,0,544,1023,222,48.0,732.0,0.9747634530067444,0.9630100131034851,0,0,1024,768
13,16207,259,566,142,159,272.0,612.0,0.971210241317749,0.9625965356826782,0,0,1024,768
14,15828,815,586,208,180,880.0,732.0,0.9690020084381104,0.9816950559616089,0,0,1024,768
15,4056,942,676,81,90,976.0,756.0,0.9658247232437134,0.9765625,0,0,1024,768
16,740,258,325,29,32,272.0,348.0,0.9644947052001953,0.9760000109672546,0,0,1024,768
17,4911,789,358,99,81,848.0,372.0,0.9641308784484863,0.9770253896713257,0,0,1024,768
18,9300,475,439,106,111,560.0,492.0,0.9623667597770691,0.9744243025779724,0,0,1024,768
19,2787,544,0,67,58,592.0,36.0,0.9597002267837524,0.9762579798698425,0,0,1024,768
20,31234,266,516,307,235,560.0,660.0,0.9585486054420471,0.9522233605384827,0,0,1024,768
21,34920,746,48,258,219,944.0,204.0,0.9579490423202515,0.9730287790298462,0,0,1024,768
22,1025,656,184,40,35,688.0,204.0,0.9574612379074097,0.9682996869087219,0,0,1024,768
23,1836,821,204,67,50,848.0,228.0,0.9568562507629395,0.9737827777862549,0,0,1024,768
24,5395,744,332,102,98,784.0,348.0,0.9565815925598145,0.9608093500137329,0,0,1024,768
25,1358,273,286,37,48,304.0,300.0,0.9552077054977417,0.9702898263931274,0,0,1024,768
26,9152,550,0,150,129,624.0,108.0,0.9524880647659302,0.9616332650184631,0,0,1024,768
27,2938,860,0,122,79,912.0,36.0,0.9513978958129883,0.9534038305282593,0,0,1024,768
28,792,695,158,32,34,720.0,180.0,0.9491851329803467,0.9701863527297974,0,0,1024,768
29,1435,0,14,53,43,16.0,36.0,0.9467369318008423,0.9745704531669617,0,0,1024,768
30,2608,827,511,70,71,880.0,540.0,0.9464925527572632,0.960931658744812,0,0,1024,768
31,920,589,540,34,32,624.0,564.0,0.9462600946426392,0.977419376373291,0,0,1024,768
32,1390,273,286,38,68,304.0,300.0,0.9441035985946655,0.9591261744499207,0,0,1024,768
33,420,838,276,23,22,848.0,276.0,0.9438719749450684,0.9834123253822327,0,0,1024,768
34,2213,394,470,79,45,432.0,492.0,0.9428492784500122,0.9693469405174255,0,0,1024,768
35,1074,0,0,67,21,16.0,12.0,0.9426394701004028,0.9715335369110107,0,0,1024,768
36,132,715,587,14,11,720.0,588.0,0.9425361156463623,0.9774436354637146,0,0,1024,768
