id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,13527,40.0,280.0,170.0,117.0,108.9375,358.75,0.9853555560112,0.9614830017089844,0,0,996,560
1,13155,440.0,0.0,321.0,77.0,700.3125,43.75,0.9806174039840698,0.975155770778656,0,0,996,560
2,597,789.0,55.0,23.0,30.0,793.6875,78.75,0.9744189977645874,0.9833333492279053,0,0,996,560
3,5920,53.0,309.0,158.0,88.0,108.9375,393.75,0.9685837030410767,0.9662958383560181,0,0,996,560
4,11331,464.0,284.0,184.0,111.0,606.9375,376.25,0.9669919013977051,0.954612135887146,0,0,996,560
5,10095,0.0,216.0,158.0,99.0,15.5625,288.75,0.9646323919296265,0.9695014953613281,0,0,996,560
6,11340,329.0,337.0,207.0,102.0,420.1875,428.75,0.9631873965263367,0.9744728803634644,0,0,996,560
7,7203,53.0,282.0,154.0,74.0,108.9375,341.25,0.9606165885925293,0.9580838084220886,0,0,996,560
8,974,433.0,266.0,34.0,38.0,451.3125,288.75,0.9578005075454712,0.9648594260215759,0,0,996,560
9,1412,416.0,293.0,38.0,45.0,451.3125,306.25,0.9527190923690796,0.9692307710647583,0,0,996,560
10,583,368.0,290.0,33.0,31.0,389.0625,306.25,0.9489388465881348,0.9727427363395691,0,0,996,560
11,819,299.0,266.0,37.0,35.0,326.8125,288.75,0.9438155889511108,0.9604316353797913,0,0,996,560
12,1041,33.0,155.0,56.0,32.0,77.8125,166.25,0.9437692165374756,0.9866284728050232,0,0,996,560
13,1303,287.0,238.0,58.0,40.0,326.8125,253.75,0.9415459632873535,0.9661654233932495,0,0,996,560
14,1081,389.0,261.0,42.0,43.0,420.1875,288.75,0.9410555362701416,0.9680948257446289,0,0,996,560
15,3201,168.0,379.0,154.0,32.0,264.5625,393.75,0.9395633935928345,0.9527294635772705,0,0,996,560
16,384,208.0,105.0,26.0,18.0,233.4375,113.75,0.9392787218093872,0.9768041372299194,0,0,996,560
17,8721,935.0,129.0,60.0,185.0,949.3125,271.25,0.9383039474487305,0.9757617115974426,0,0,996,560
18,9656,384.0,342.0,151.0,97.0,451.3125,393.75,0.9369955062866211,0.9667243361473083,0,0,996,560
19,523,335.0,67.0,25.0,26.0,357.9375,78.75,0.9361865520477295,0.9754253029823303,0,0,996,560
20,3027,766.0,506.0,126.0,53.0,887.0625,516.25,0.9342284202575684,0.9620622396469116,0,0,996,560
21,1776,737.0,337.0,78.0,82.0,762.5625,411.25,0.9336968660354614,0.9684908986091614,0,0,996,560
22,1047,969.0,0.0,26.0,41.0,980.4375,8.75,0.9330163598060608,0.9718309640884399,0,0,996,560
23,1654,461.0,314.0,58.0,52.0,482.4375,341.25,0.9295884370803833,0.9690660238265991,0,0,996,560
24,8812,896.0,129.0,99.0,185.0,949.3125,253.75,0.929364025592804,0.9624085426330566,0,0,996,560
25,1820,753.0,8.0,23.0,115.0,762.5625,61.25,0.9267412424087524,0.9564281702041626,0,0,996,560
26,5425,622.0,278.0,102.0,77.0,700.3125,323.75,0.9257475137710571,0.9512940049171448,0,0,996,560
27,4284,360.0,55.0,118.0,48.0,451.3125,61.25,0.9255152940750122,0.9683268070220947,0,0,996,560
28,8587,0.0,0.0,395.0,103.0,77.8125,78.75,0.9238066673278809,0.9502329230308533,0,0,996,560
29,1751,164.0,346.0,75.0,39.0,202.3125,358.75,0.9228256940841675,0.9570072293281555,0,0,996,560
30,45902,0.0,404.0,564.0,154.0,171.1875,551.25,0.9208823442459106,0.9500190615653992,0,0,996,560
31,1440,429.0,111.0,43.0,43.0,451.3125,131.25,0.9203563928604126,0.9639210104942322,0,0,996,560
32,1417,12.0,301.0,41.0,47.0,46.6875,323.75,0.9201794266700745,0.9742876887321472,0,0,996,560
33,2767,281.0,121.0,63.0,53.0,326.8125,131.25,0.9180094003677368,0.9651493430137634,0,0,996,560
34,2092,287.0,238.0,59.0,63.0,295.6875,253.75,0.9166370034217834,0.9588207602500916,0,0,996,560
35,1533,554.0,260.0,59.0,33.0,575.8125,271.25,0.9158092737197876,0.9632968306541443,0,0,996,560
36,1732,195.0,143.0,80.0,37.0,233.4375,166.25,0.9137362241744995,0.9555180072784424,0,0,996,560
37,1306,752.0,53.0,24.0,70.0,762.5625,113.75,0.9118186235427856,0.9633233547210693,0,0,996,560
38,1995,653.0,526.0,94.0,33.0,731.4375,551.25,0.9094997644424438,0.9565646648406982,0,0,996,560
39,2946,345.0,224.0,67.0,67.0,357.9375,271.25,0.909018874168396,0.9512922167778015,0,0,996,560
40,1517,926.0,0.0,43.0,37.0,949.3125,26.25,0.9065655469894409,0.9536381363868713,0,0,996,560
41,1217,502.0,249.0,47.0,37.0,513.5625,271.25,0.9052746295928955,0.95652174949646,0,0,996,560
42,13638,0.0,0.0,318.0,83.0,46.6875,8.75,0.9036849737167358,0.9645072817802429,0,0,996,560
43,845,537.0,494.0,46.0,31.0,575.8125,516.25,0.9001451730728149,0.9527105093002319,0,0,996,560
44,2578,314.0,272.0,35.0,113.0,326.8125,323.75,0.8986155986785889,0.9526156187057495,0,0,996,560
